"filename", "language", "TypeScript", "TypeScript React", "JavaScript", "JSON", "XML", "Markdown", "CSS", "HTML", "Log", "comment", "blank", "total"
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/site/Meta.tsx", "TypeScript React", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/togle/Toggle.tsx", "TypeScript React", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/hook/useClickOutside.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/lib/gtag.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 3, 18
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/[username]/library/folders.tsx", "TypeScript React", 0, 248, 0, 0, 0, 0, 0, 0, 0, 7, 28, 283
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/[username]/library/rooms.tsx", "TypeScript React", 0, 228, 0, 0, 0, 0, 0, 0, 0, 3, 20, 251
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/[username]/library/sets.tsx", "TypeScript React", 0, 310, 0, 0, 0, 0, 0, 0, 0, 2, 18, 330
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/_app.tsx", "TypeScript React", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/_document.tsx", "TypeScript React", 0, 73, 0, 0, 0, 0, 0, 0, 0, 2, 8, 83
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/active-account/[username].tsx", "TypeScript React", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/admin/index.tsx", "TypeScript React", 0, 745, 0, 0, 0, 0, 0, 0, 0, 8, 34, 787
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/api/hello.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/auth/login.tsx", "TypeScript React", 0, 213, 0, 0, 0, 0, 0, 0, 0, 5, 23, 241
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/auth/register.tsx", "TypeScript React", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 15, 137
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/error.tsx", "TypeScript React", 0, 298, 0, 0, 0, 0, 0, 0, 0, 0, 2, 300
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/folder/[id]/index.tsx", "TypeScript React", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/goodbye.tsx", "TypeScript React", 0, 40, 0, 0, 0, 0, 0, 0, 0, 4, 5, 49
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/home.tsx", "TypeScript React", 0, 405, 0, 0, 0, 0, 0, 0, 0, 3, 20, 428
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/index.tsx", "TypeScript React", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 4, 60
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/invitation.tsx", "TypeScript React", 0, 161, 0, 0, 0, 0, 0, 0, 0, 3, 22, 186
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/landing.tsx", "TypeScript React", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/me/account.tsx", "TypeScript React", 0, 208, 0, 0, 0, 0, 0, 0, 0, 2, 17, 227
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/me/learning-custom.tsx", "TypeScript React", 0, 172, 0, 0, 0, 0, 0, 0, 0, 2, 20, 194
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/me/profile.tsx", "TypeScript React", 0, 274, 0, 0, 0, 0, 0, 0, 0, 10, 26, 310
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/room/[id]/library.tsx", "TypeScript React", 0, 436, 0, 0, 0, 0, 0, 0, 0, 9, 44, 489
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/room/[id]/members.tsx", "TypeScript React", 0, 276, 0, 0, 0, 0, 0, 0, 0, 6, 34, 316
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/room/[id]/requests.tsx", "TypeScript React", 0, 261, 0, 0, 0, 0, 0, 0, 0, 5, 31, 297
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/schedule.tsx", "TypeScript React", 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 11, 197
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/search/[type]/[searchBy]/index.tsx", "TypeScript React", 0, 363, 0, 0, 0, 0, 0, 0, 0, 0, 15, 378
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/set/[id]/edit.tsx", "TypeScript React", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/set/[id]/index.tsx", "TypeScript React", 0, 726, 0, 0, 0, 0, 0, 0, 0, 725, 24, 1475
